date,code,open,high,low,close,peTTM,pbMRQ,psTTM
2020-06-24,sh.600763,156.7900,159.4500,152.3800,156.3000,143.262008,28.375271,29.603570
2020-06-24,sh.600764,25.2500,25.5700,25.1000,25.5000,30.689603,2.905475,4.845743
2020-06-24,sh.600765,9.9900,10.0000,9.7500,9.8800,32.271791,1.503475,1.508869
2020-06-24,sh.600766,7.2400,7.3800,7.1800,7.2000,156.095134,26.375458,62.003021
2020-06-24,sh.600767,3.5200,3.5400,3.4700,3.5100,-17.167212,5.629808,9.398164
2020-06-24,sh.600768,9.5400,9.5800,9.4100,9.4200,10.936480,5.470335,3.070722
2020-06-24,sh.600769,5.6000,5.6300,5.5700,5.6100,740.750106,37.409755,87.818937
2020-06-24,sh.600770,4.8300,4.8400,4.7600,4.8100,92.413125,1.735445,14.862213
2020-06-24,sh.600771,13.8100,13.8800,13.4000,13.5900,66.645358,2.804047,5.711388
2020-06-24,sh.600773,6.0000,6.0100,5.8600,5.9100,46.552735,1.380323,3.524076
2020-06-24,sh.600774,11.0600,11.1100,10.8400,10.8700,-7113.507714,4.157832,2.745084
2020-06-24,sh.600775,8.1500,8.3900,8.1000,8.3900,-5067.870833,2.250153,1.785325
2020-06-24,sh.600776,15.1300,15.2100,15.0000,15.0100,155.407936,6.012857,7.071063
2020-06-24,sh.600777,1.5500,1.5500,1.5200,1.5300,5.230371,0.597319,1.629818
2020-06-24,sh.600778,4.4500,4.4800,4.3700,4.3800,34.618996,1.550268,0.314734
2020-06-24,sh.600779,60.6600,64.5000,60.1800,62.3600,38.145977,13.225622,9.127956
2020-06-24,sh.600780,3.2800,3.2900,3.2600,3.2800,14.079910,0.684628,0.566213
2020-06-24,sh.600781,4.3500,4.3500,4.3500,4.3500,10.059950,0.454259,0.628354
2020-06-24,sh.600782,4.1400,4.1700,4.1200,4.1500,4.163121,0.595318,0.223486
2020-06-24,sh.600783,14.6200,15.6800,14.6200,15.2200,81.789096,3.124368,60.308074
2020-06-24,sh.600784,4.3400,4.3400,4.2600,4.2700,-271537.165231,1.568426,1.051940
2020-06-24,sh.600785,15.5800,15.5800,15.3800,15.4700,28.091051,1.439098,0.462673
2020-06-24,sh.600787,4.4600,4.4800,4.4300,4.4400,33.946675,0.870822,0.258087
2020-06-24,sh.600789,9.2000,9.2600,8.9000,8.9500,99.739184,2.602424,2.097639
2020-06-24,sh.600790,3.1400,3.1400,3.1100,3.1200,14.433698,0.808518,4.886632
2020-06-24,sh.600791,3.4700,3.4900,3.4300,3.4900,331.732377,0.938374,1.357326
2020-06-24,sh.600792,2.8400,2.8500,2.8200,2.8200,12.534182,0.830821,0.516862
2020-06-24,sh.600793,10.5000,10.8400,10.4800,10.6100,-30.817655,2.818157,1.207293
2020-06-24,sh.600794,3.0400,3.0600,3.0400,3.0400,23.935364,1.858921,2.023811
2020-06-24,sh.600795,1.8300,1.8600,1.8300,1.8500,-129.819779,0.724256,0.320979
2020-06-24,sh.600796,5.3500,5.3700,5.1900,5.2300,79.241626,2.661273,4.213490
2020-06-24,sh.600797,8.4900,8.5200,8.3200,8.3600,-212.612813,1.999494,2.467621
2020-06-24,sh.600798,2.9400,2.9500,2.9200,2.9300,34.779359,1.007496,1.615951
2020-06-24,sh.600800,4.8200,4.8200,4.7500,4.7600,-29.467980,2.681962,-7.138806
2020-06-24,sh.600801,23.9800,24.3300,23.9500,24.2700,8.949798,2.365236,1.735920
2020-06-24,sh.600802,10.8000,10.9800,10.8000,10.9400,8.889025,3.033450,1.441457
2020-06-24,sh.600803,10.5600,10.7400,10.5400,10.5900,14.131753,1.379129,1.085491
2020-06-24,sh.600804,8.8700,9.0100,8.6100,8.8100,-2.205788,16.509916,2.181221
2020-06-24,sh.600805,4.1900,4.1900,4.1300,4.1300,-28.135629,0.585457,1.513781
2020-06-24,sh.600807,4.9100,4.9100,4.9100,4.9100,38.286274,3.499624,2.682332
2020-06-24,sh.600808,2.6100,2.6200,2.5800,2.5900,14.027736,0.730774,0.259861
2020-06-24,sh.600809,139.3000,141.5000,137.0000,138.1800,52.716307,13.879217,10.077840
2020-06-24,sh.600810,7.1200,7.1800,7.0800,7.1200,15.968748,1.206191,0.333097
2020-06-24,sh.600811,4.4500,4.4700,4.4000,4.4500,25.811140,0.775487,1.172970
2020-06-24,sh.600812,12.4500,12.4500,11.7000,11.8900,104.460187,3.447684,1.859985
2020-06-24,sh.600814,6.1100,6.1100,5.7200,5.7300,24.454778,1.593948,0.698516
2020-06-24,sh.600815,2.4800,2.4800,2.3700,2.3900,-3.734054,3.155561,2.902855
2020-06-24,sh.600816,2.1200,2.2500,2.1100,2.2200,-2.442765,1.743100,36.291778
2020-06-24,sh.600817,9.7100,9.8000,9.4800,9.4900,631.433655,14.667636,20.015905
2020-06-24,sh.600818,11.8700,12.0200,11.6800,11.6900,-104.141128,6.388724,6.672646
2020-06-24,sh.600819,4.4500,4.4600,4.4300,4.4500,27.881837,1.277111,1.013909
2020-06-24,sh.600820,5.8000,5.8000,5.7200,5.7400,9.166518,0.818855,0.422677
2020-06-24,sh.600821,4.0200,4.0800,4.0200,4.0600,-7.990556,-93.087153,39.340550
2020-06-24,sh.600822,9.4200,9.8800,9.3500,9.8000,120.599145,7.296592,0.715089
2020-06-24,sh.600823,4.3000,4.3700,4.2800,4.3500,6.849655,0.638547,0.774456
2020-06-24,sh.600824,4.1600,4.2000,3.9600,3.9900,159.139874,1.696712,3.104656
2020-06-24,sh.600825,6.6500,6.6500,6.4500,6.5200,617.546505,2.548646,5.442814
2020-06-24,sh.600826,10.1800,10.3300,10.0900,10.3100,-1588.170811,1.317648,1.268792
2020-06-24,sh.600827,13.8600,14.0700,13.3800,13.4300,36.521962,1.354302,0.520298
2020-06-24,sh.600828,4.3300,4.3300,4.2100,4.3000,7.460288,1.101689,0.775615
2020-06-24,sh.600829,7.8300,7.8800,7.5600,7.5800,18.155055,2.318852,0.531951
2020-06-24,sh.600830,6.5100,6.8000,6.4200,6.5900,123.220359,1.413311,8.375553
2020-06-24,sh.600831,8.1700,8.2000,7.9800,8.1000,-33.433196,1.588094,2.340067
2020-06-24,sh.600833,10.7900,10.8900,10.6500,10.7700,41.704971,3.251937,1.671675
2020-06-24,sh.600834,11.8900,12.1100,11.7600,12.0000,117.546329,3.811859,11.498834
2020-06-24,sh.600835,16.8500,17.0800,16.8000,17.0000,18.485903,1.515655,0.831129
2020-06-24,sh.600836,4.9900,4.9900,4.9500,4.9600,21.397275,3.278065,1.484625
2020-06-24,sh.600837,12.7800,13.0400,12.7200,12.8700,18.420584,1.158030,4.751883
2020-06-24,sh.600838,7.4700,7.5300,7.2300,7.2700,34.612765,2.227294,38.155447
2020-06-24,sh.600839,2.9900,3.0300,2.9200,2.9400,-40.008594,1.071364,0.159574
2020-06-24,sh.600841,7.0200,7.0500,6.9100,7.0200,55.564429,1.591817,1.498738
2020-06-24,sh.600843,6.6500,6.7000,6.6100,6.6600,67.564516,1.594194,1.204175
2020-06-24,sh.600844,3.2900,3.3200,3.2800,3.2800,-12.763835,1.854127,2.808343
2020-06-24,sh.600845,60.0000,60.6800,58.1200,58.5800,70.107143,10.265546,10.036080
2020-06-24,sh.600846,8.5400,8.5600,8.5000,8.5300,8.475129,1.860814,0.801867
2020-06-24,sh.600847,10.6900,10.7100,10.4400,10.5800,219.458055,2.357538,3.077659
2020-06-24,sh.600848,21.0200,21.2000,21.0000,21.0400,32.584715,3.198875,9.944776
2020-06-24,sh.600850,23.2400,23.4300,23.0400,23.1500,32.238111,3.762228,1.324117
2020-06-24,sh.600851,7.3800,7.4500,7.3200,7.3200,93.700243,2.372750,8.244731
2020-06-24,sh.600853,3.2700,3.2900,3.2400,3.2500,12.107068,1.570170,0.248676
2020-06-24,sh.600854,3.9100,4.2300,3.8800,4.0900,79.611633,1.052522,11.158582
2020-06-24,sh.600855,15.9600,16.0000,15.5000,15.5500,262.054291,4.224621,2.824919
